,task-clock,context-switches,cpu-migrations,page-faults,cycles,instructions,branches,branch-misses,stalled-cycles-frontend,stalled-cycles-backend,eu_stall,if_stall,id_stall,ib_stall,benchmark,first instruction,second instruction,file name
865,10003.46,12.0,0.0,0.0,16005425378.0,31964309897.0,537740.0,8973.0,12933966.0,5301805.0,4834821.0,3995471.0,822821.0,38962.0,i-results,SUB_V0,SRAW_V0,SUB_V0_SRAW_V0-10
866,10003.75,4.0,0.0,0.0,16005838148.0,8004863545.0,542984.0,5421.0,4189165.0,8000004180.0,23920234741.0,4182447.0,773426.0,38828.0,i-results,MULH_V0,SLLI_V0,MULH_V0_SLLI_V0-10
867,9982.62,327.0,0.0,0.0,15976042935.0,7992027163.0,981193.0,77842.0,9541876.0,7978136747.0,23836228550.0,9142750.0,1307127.0,79860.0,i-results,MULH_V0,SLLW_V0,MULH_V0_SLLW_V0-10
868,10003.72,1.0,0.0,0.0,16005835977.0,8005033588.0,535177.0,2784.0,3806939.0,8000193722.0,23930742494.0,3785320.0,706384.0,38176.0,i-results,MULH_V0,SLL_V0,MULH_V0_SLL_V0-10
869,10003.87,2.0,0.0,0.0,16006056968.0,8005003361.0,512625.0,3745.0,4542628.0,7999586859.0,23910154125.0,4409167.0,689277.0,35716.0,i-results,MULH_V0,SLTIU_V0,MULH_V0_SLTIU_V0-10
870,10003.99,0.0,0.0,0.0,16006244572.0,31967821782.0,530720.0,3697.0,13425644.0,4020798.0,3045455.0,4510226.0,712438.0,38240.0,i-results,SUB_V0,SRL_V0,SUB_V0_SRL_V0-10
871,10004.39,0.0,0.0,0.0,16006905525.0,8005636493.0,532946.0,1923.0,3692956.0,8000787855.0,23932599353.0,3669278.0,716079.0,38435.0,i-results,MULH_V0,SLTI_V0,MULH_V0_SLTI_V0-10
872,9982.87,323.0,0.0,0.0,15976476188.0,7992314153.0,976709.0,76179.0,9249231.0,7978557859.0,23813243628.0,8905258.0,1319811.0,80275.0,i-results,MULH_V0,SLTU_V0,MULH_V0_SLTU_V0-10
873,10004.28,2.0,0.0,0.0,16006726622.0,8005372405.0,515485.0,4441.0,4710513.0,7999742405.0,23920898815.0,4593167.0,737172.0,37305.0,i-results,MULH_V0,SLT_V0,MULH_V0_SLT_V0-10
874,10003.46,11.0,0.0,0.0,16005424678.0,8004567063.0,535259.0,8786.0,4393303.0,7999683305.0,23938308048.0,4357294.0,774807.0,39694.0,i-results,MULH_V0,SRAIW_V0,MULH_V0_SRAIW_V0-10
